Option,in:Afstand van Straat,in:Inkeping Hoek,in:Overspanning Vloer,in:Bouwsysteem,in:Vleugel Woningdiepte,in:Belemmeringshoek Zuid,in:Belemmeringshoek Noord,out:MPG [€/m2 per jaar],out:Gewicht [t],out:BVO Wonen Blok O[m2],out:Overspanning [m],out:Vormfactor [GBO/BVO],out:Terrassen [m2],out:% >2 Zonuren Terrassen,out:% >2 Zonuren Straat O,out:% >2 Zonuren Gevels,out:% >2 Zonuren Gevels Buren,out:% >2 Zonuren Binnentuin,out:% >15% Gevel Daglicht,out:% >30% Gevel Daglicht,img
1,0,0 Grid,0,CLT Vloer/Wanden,6.3,30,30,0.204,4170,9591,3.6,0.49,1712,53,53,71,87,87,100,76,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
2,3.6,0 Grid,0,CLT Vloer/Wanden,6.3,30,30,0.204,4130,9513,3.6,0.49,1637,61,73,70,87,86,100,76,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
3,0,0.5 Grid,0,CLT Vloer/Wanden,6.3,30,30,0.205,4134,9472,3.6,0.48,1689,57,53,72,87,89,100,78,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
4,3.6,0.5 Grid,0,CLT Vloer/Wanden,6.3,30,30,0.205,4093,9390,3.6,0.48,1613,60,73,71,87,88,100,79,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
5,0,1 Grid,0,CLT Vloer/Wanden,6.3,30,30,0.205,4072,9364,3.6,0.48,1665,57,53,72,87,92,100,82,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
6,3.6,1 Grid,0,CLT Vloer/Wanden,6.3,30,30,0.205,4025,9272,3.6,0.48,1589,59,73,72,87,91,100,83,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
7,0,1.5 Grid,0,CLT Vloer/Wanden,6.3,30,30,0.203,3994,9257,3.6,0.48,1642,56,53,73,87,94,100,82,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
8,3.6,1.5 Grid,0,CLT Vloer/Wanden,6.3,30,30,0.202,3941,9155,3.6,0.48,1566,60,73,72,87,94,100,83,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
9,0,0 Grid,1,CLT Vloer/Wanden,6.3,30,30,0.191,3989,9591,4.5,0.49,1712,53,53,71,87,87,100,76,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer1_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
10,3.6,0 Grid,1,CLT Vloer/Wanden,6.3,30,30,0.196,4016,9513,4.5,0.49,1637,61,73,70,87,86,100,76,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer1_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
11,0,0.5 Grid,1,CLT Vloer/Wanden,6.3,30,30,0.186,3855,9445,4.5,0.48,1683,57,53,72,87,90,100,80,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer1_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
12,3.6,0.5 Grid,1,CLT Vloer/Wanden,6.3,30,30,0.191,3880,9361,4.5,0.48,1607,60,73,72,87,89,100,81,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer1_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
13,0,1 Grid,1,CLT Vloer/Wanden,6.3,30,30,0.188,3814,9311,4.5,0.48,1654,57,53,73,87,94,100,82,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer1_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
14,3.6,1 Grid,1,CLT Vloer/Wanden,6.3,30,30,0.193,3834,9213,4.5,0.48,1578,59,73,72,87,93,100,83,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer1_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
15,0,1.5 Grid,1,CLT Vloer/Wanden,6.3,30,30,0.187,3742,9178,4.5,0.48,1624,56,53,73,87,96,100,82,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer1_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
16,3.6,1.5 Grid,1,CLT Vloer/Wanden,6.3,30,30,0.192,3761,9072,4.5,0.48,1548,60,73,72,87,94,100,83,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer1_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
17,0,0 Grid,2,CLT Vloer/Wanden,6.3,30,30,0.18,3838,9591,5.4,0.49,1712,53,53,71,87,87,100,76,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer2_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
18,3.6,0 Grid,2,CLT Vloer/Wanden,6.3,30,30,0.185,3882,9513,5.4,0.49,1637,61,73,70,87,86,100,76,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer2_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
19,0,0.5 Grid,2,CLT Vloer/Wanden,6.3,30,30,0.181,3783,9418,5.4,0.48,1677,56,53,72,87,90,100,81,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer2_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
20,3.6,0.5 Grid,2,CLT Vloer/Wanden,6.3,30,30,0.187,3823,9331,5.4,0.48,1601,60,73,72,87,89,100,82,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer2_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
21,0,1 Grid,2,CLT Vloer/Wanden,6.3,30,30,0.177,3656,9257,5.4,0.48,1642,56,53,73,87,94,100,82,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer2_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
22,3.6,1 Grid,2,CLT Vloer/Wanden,6.3,30,30,0.183,3684,9155,5.4,0.48,1566,60,73,72,87,94,100,83,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer2_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
23,0,1.5 Grid,2,CLT Vloer/Wanden,6.3,30,30,0.179,3607,9104,5.4,0.48,1606,57,53,74,87,97,100,81,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer2_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
24,3.6,1.5 Grid,2,CLT Vloer/Wanden,6.3,30,30,0.184,3632,8992,5.4,0.48,1530,61,73,73,87,97,100,83,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer2_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
25,0,0 Grid,0,CLT Vloer/Kolom-Ligger,6.3,30,30,0.277,3135,9591,3.6,0.49,1712,53,53,71,87,87,100,76,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
26,3.6,0 Grid,0,CLT Vloer/Kolom-Ligger,6.3,30,30,0.277,3107,9513,3.6,0.49,1637,61,73,70,87,86,100,76,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
27,0,0.5 Grid,0,CLT Vloer/Kolom-Ligger,6.3,30,30,0.279,3097,9472,3.6,0.48,1689,57,53,72,87,89,100,78,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
28,3.6,0.5 Grid,0,CLT Vloer/Kolom-Ligger,6.3,30,30,0.279,3067,9390,3.6,0.48,1613,60,73,71,87,88,100,79,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
29,0,1 Grid,0,CLT Vloer/Kolom-Ligger,6.3,30,30,0.278,3056,9364,3.6,0.48,1665,57,53,72,87,92,100,82,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
30,3.6,1 Grid,0,CLT Vloer/Kolom-Ligger,6.3,30,30,0.278,3022,9272,3.6,0.48,1589,59,73,72,87,91,100,83,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
31,0,1.5 Grid,0,CLT Vloer/Kolom-Ligger,6.3,30,30,0.275,3014,9257,3.6,0.48,1642,56,53,73,87,94,100,82,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
32,3.6,1.5 Grid,0,CLT Vloer/Kolom-Ligger,6.3,30,30,0.275,2975,9155,3.6,0.48,1566,60,73,72,87,94,100,83,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
33,0,0 Grid,1,CLT Vloer/Kolom-Ligger,6.3,30,30,0.254,3234,9591,4.5,0.49,1712,53,53,71,87,87,100,76,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
34,3.6,0 Grid,1,CLT Vloer/Kolom-Ligger,6.3,30,30,0.262,3218,9513,4.5,0.49,1637,61,73,70,87,86,100,76,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
35,0,0.5 Grid,1,CLT Vloer/Kolom-Ligger,6.3,30,30,0.247,3166,9445,4.5,0.48,1683,57,53,72,87,90,100,80,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
36,3.6,0.5 Grid,1,CLT Vloer/Kolom-Ligger,6.3,30,30,0.255,3149,9361,4.5,0.48,1607,60,73,72,87,89,100,81,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
37,0,1 Grid,1,CLT Vloer/Kolom-Ligger,6.3,30,30,0.25,3121,9311,4.5,0.48,1654,57,53,73,87,94,100,82,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
38,3.6,1 Grid,1,CLT Vloer/Kolom-Ligger,6.3,30,30,0.258,3098,9213,4.5,0.48,1578,59,73,72,87,93,100,83,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
39,0,1.5 Grid,1,CLT Vloer/Kolom-Ligger,6.3,30,30,0.248,3070,9178,4.5,0.48,1624,56,53,73,87,96,100,82,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
40,3.6,1.5 Grid,1,CLT Vloer/Kolom-Ligger,6.3,30,30,0.256,3044,9072,4.5,0.48,1548,60,73,72,87,94,100,83,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
41,0,0 Grid,2,CLT Vloer/Kolom-Ligger,6.3,30,30,0.24,3365,9591,5.4,0.49,1712,53,53,71,87,87,100,76,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
42,3.6,0 Grid,2,CLT Vloer/Kolom-Ligger,6.3,30,30,0.25,3355,9513,5.4,0.49,1637,61,73,70,87,86,100,76,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
43,0,0.5 Grid,2,CLT Vloer/Kolom-Ligger,6.3,30,30,0.243,3303,9418,5.4,0.48,1677,56,53,72,87,90,100,81,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
44,3.6,0.5 Grid,2,CLT Vloer/Kolom-Ligger,6.3,30,30,0.253,3289,9331,5.4,0.48,1601,60,73,72,87,89,100,82,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
45,0,1 Grid,2,CLT Vloer/Kolom-Ligger,6.3,30,30,0.236,3231,9257,5.4,0.48,1642,56,53,73,87,94,100,82,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
46,3.6,1 Grid,2,CLT Vloer/Kolom-Ligger,6.3,30,30,0.245,3209,9155,5.4,0.48,1566,60,73,72,87,94,100,83,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
47,0,1.5 Grid,2,CLT Vloer/Kolom-Ligger,6.3,30,30,0.238,3176,9104,5.4,0.48,1606,57,53,74,87,97,100,81,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
48,3.6,1.5 Grid,2,CLT Vloer/Kolom-Ligger,6.3,30,30,0.249,3151,8992,5.4,0.48,1530,61,73,73,87,97,100,83,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
49,0,0 Grid,0,CLT Vloer/Kolom,6.3,30,30,0.242,3057,9591,3.6,0.49,1712,53,53,71,87,87,100,76,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
50,3.6,0 Grid,0,CLT Vloer/Kolom,6.3,30,30,0.242,3029,9513,3.6,0.49,1637,61,73,70,87,86,100,76,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
51,0,0.5 Grid,0,CLT Vloer/Kolom,6.3,30,30,0.244,3020,9472,3.6,0.48,1689,57,53,72,87,89,100,78,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
52,3.6,0.5 Grid,0,CLT Vloer/Kolom,6.3,30,30,0.244,2990,9390,3.6,0.48,1613,60,73,71,87,88,100,79,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
53,0,1 Grid,0,CLT Vloer/Kolom,6.3,30,30,0.243,2980,9364,3.6,0.48,1665,57,53,72,87,92,100,82,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
54,3.6,1 Grid,0,CLT Vloer/Kolom,6.3,30,30,0.243,2946,9272,3.6,0.48,1589,59,73,72,87,91,100,83,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
55,0,1.5 Grid,0,CLT Vloer/Kolom,6.3,30,30,0.241,2939,9257,3.6,0.48,1642,56,53,73,87,94,100,82,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
56,3.6,1.5 Grid,0,CLT Vloer/Kolom,6.3,30,30,0.241,2901,9155,3.6,0.48,1566,60,73,72,87,94,100,83,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
57,0,0 Grid,1,CLT Vloer/Kolom,6.3,30,30,0.228,3077,9591,4.5,0.49,1712,53,53,71,87,87,100,76,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
58,3.6,0 Grid,1,CLT Vloer/Kolom,6.3,30,30,0.234,3063,9513,4.5,0.49,1637,61,73,70,87,86,100,76,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
59,0,0.5 Grid,1,CLT Vloer/Kolom,6.3,30,30,0.223,3012,9445,4.5,0.48,1683,57,53,72,87,90,100,80,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
60,3.6,0.5 Grid,1,CLT Vloer/Kolom,6.3,30,30,0.229,2996,9361,4.5,0.48,1607,60,73,72,87,89,100,81,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
61,0,1 Grid,1,CLT Vloer/Kolom,6.3,30,30,0.225,2969,9311,4.5,0.48,1654,57,53,73,87,94,100,82,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
62,3.6,1 Grid,1,CLT Vloer/Kolom,6.3,30,30,0.231,2949,9213,4.5,0.48,1578,59,73,72,87,93,100,83,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
63,0,1.5 Grid,1,CLT Vloer/Kolom,6.3,30,30,0.224,2921,9178,4.5,0.48,1624,56,53,73,87,96,100,82,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
64,3.6,1.5 Grid,1,CLT Vloer/Kolom,6.3,30,30,0.23,2897,9072,4.5,0.48,1548,60,73,72,87,94,100,83,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
65,0,0 Grid,2,CLT Vloer/Kolom,6.3,30,30,0.223,3131,9591,5.4,0.49,1712,53,53,71,87,87,100,76,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
66,3.6,0 Grid,2,CLT Vloer/Kolom,6.3,30,30,0.23,3122,9513,5.4,0.49,1637,61,73,70,87,86,100,76,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
67,0,0.5 Grid,2,CLT Vloer/Kolom,6.3,30,30,0.225,3073,9418,5.4,0.48,1677,56,53,72,87,90,100,81,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
68,3.6,0.5 Grid,2,CLT Vloer/Kolom,6.3,30,30,0.233,3062,9331,5.4,0.48,1601,60,73,72,87,89,100,82,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
69,0,1 Grid,2,CLT Vloer/Kolom,6.3,30,30,0.22,3005,9257,5.4,0.48,1642,56,53,73,87,94,100,82,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
70,3.6,1 Grid,2,CLT Vloer/Kolom,6.3,30,30,0.227,2987,9155,5.4,0.48,1566,60,73,72,87,94,100,83,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
71,0,1.5 Grid,2,CLT Vloer/Kolom,6.3,30,30,0.222,2955,9104,5.4,0.48,1606,57,53,74,87,97,100,81,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
72,3.6,1.5 Grid,2,CLT Vloer/Kolom,6.3,30,30,0.23,2932,8992,5.4,0.48,1530,61,73,73,87,97,100,83,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
73,0,0 Grid,0,Beton Kanaalplaat/Wanden,6.3,30,30,0.211,8718,9591,5.4,0.49,1712,53,53,71,87,87,100,76,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer0_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
74,3.6,0 Grid,0,Beton Kanaalplaat/Wanden,6.3,30,30,0.21,8613,9513,5.4,0.49,1637,61,73,70,87,86,100,76,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer0_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
75,0,0.5 Grid,0,Beton Kanaalplaat/Wanden,6.3,30,30,0.213,8629,9418,5.4,0.48,1677,56,53,72,87,90,100,81,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer0_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
76,3.6,0.5 Grid,0,Beton Kanaalplaat/Wanden,6.3,30,30,0.213,8520,9331,5.4,0.48,1601,60,73,72,87,89,100,82,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer0_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
77,0,1 Grid,0,Beton Kanaalplaat/Wanden,6.3,30,30,0.207,8238,9257,5.4,0.48,1642,56,53,73,87,94,100,82,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
78,3.6,1 Grid,0,Beton Kanaalplaat/Wanden,6.3,30,30,0.206,8094,9155,5.4,0.48,1566,60,73,72,87,94,100,83,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
